SPECid,CNTXT,X_COORD,Y_COORD,Ag K12,Ag L1,As K12,Ca K12,V K12,Ti K12,Sr K12,Ni K12,Cr K12,Mn K12,Ga K12,Fe K12,Cu K12
Rm4_R04_375_2,Rm4_R04,667074.946853808,9238768.65707753,15651,2071,2703,29731,890,9841,65098,319,509,8544,922,586440,6918
Rm4_R04_375_1,Rm4_R04,667074.946853808,9238768.65707753,13156,2166,2863,18821,843,10173,48254,434,583,4781,1044,507223,3733
Rm4_R04_375_3,Rm4_R04,667074.946853808,9238768.65707753,12971,2117,3010,28152,797,7897,46742,259,271,6131,850,504518,4205
Rm2_R11_337_2,Rm2_R11,667094.750778065,9238791.48731844,15513,1894,2393,33880,801,9853,80721,248,343,10300,819,581404,3708
Rm2_R11_763_2,Rm2_R11,667094.750778065,9238791.48731844,10186,2179,3319,35131,1128,17756,56538,241,363,10057,768,500776,2829
Rm2_R11_763_3,Rm2_R11,667094.750778065,9238791.48731844,7924,1164,780,22023,689,10801,40761,113,92,5592,325,343581,2215
Rm2_R11_337_1,Rm2_R11,667094.750778065,9238791.48731844,13698,2084,2410,29381,794,9173,77746,273,179,8811,768,547034,3872
Rm2_R11_337_3,Rm2_R11,667094.750778065,9238791.48731844,14096,2058,2352,38802,709,9527,59927,323,464,10763,1083,696794,3797
Rm2_R11_763_1,Rm2_R11,667094.750778065,9238791.48731844,13848,2364,2309,40413,1050,18863,58495,144,157,6602,1011,524830,4002
Rm2_R06_782_6,Rm2_R06,667092.281880407,9238791.30260678,9881,2055,1878,19988,822,17784,40966,253,347,6950,660,477507,3489
Rm2_R06_782_5,Rm2_R06,667092.281880407,9238791.30260678,14417,2259,2853,16545,1133,22735,47478,389,355,11714,951,706663,3393
Rm2_R06_782_8,Rm2_R06,667092.281880407,9238791.30260678,9773,2318,2313,11294,737,19840,37170,290,251,8658,841,525761,3212
Rm2_R06_782_2,Rm2_R06,667092.281880407,9238791.30260678,15742,2542,3146,24655,1048,21220,56280,339,155,11912,1084,688586,3662
Rm2_R06_782_7,Rm2_R06,667092.281880407,9238791.30260678,13351,2388,2172,20385,1146,19593,54089,270,303,8888,989,588291,4424
Rm2_R06_782_3,Rm2_R06,667092.281880407,9238791.30260678,12822,2428,2987,23784,1164,20256,50228,470,288,8682,942,677137,3018
Rm2_R06_782_4,Rm2_R06,667092.281880407,9238791.30260678,14550,2100,2688,57109,961,19277,71052,254,272,6941,789,502542,3004
Rm2_R06_782_1,Rm2_R06,667092.281880407,9238791.30260678,11307,2149,2305,30559,998,18805,41518,319,273,11967,741,605410,3166
Rm2_R06_782_10,Rm2_R06,667092.281880407,9238791.30260678,13420,2305,3130,13760,1216,23024,47611,292,373,11561,1062,740210,3254
Rm2_R06_782_9,Rm2_R06,667092.281880407,9238791.30260678,10702,2305,2562,17063,1030,21923,33347,291,185,11386,909,626683,3194
Rm2_R10_407_1,Rm2_R10,667091.360824451,9238789.40729521,14284,2225,2810,12984,849,13244,47566,433,306,8993,1089,708646,3511
Rm2_R10_407_2,Rm2_R10,667091.360824451,9238789.40729521,12537,2082,4220,22131,740,9179,52784,278,202,12520,958,593017,4269
Rm2_R10_407_3,Rm2_R10,667091.360824451,9238789.40729521,12066,2475,1750,20195,727,11481,49247,381,384,11014,1012,705794,3740
Rm2_R04_856_3,Rm2_R04,667093.780188688,9238792.13036211,13827,2156,2587,30713,1002,20399,81973,330,260,9769,817,615151,3137
Rm2_R04_856_2,Rm2_R04,667093.780188688,9238792.13036211,13504,2252,2338,28891,1066,20777,79102,462,347,10800,901,629391,3323
Rm2_R04_856_1,Rm2_R04,667093.780188688,9238792.13036211,11689,2168,1408,17602,824,18328,47898,238,405,6476,599,431550,2693
Rm2_R04_860_7,Rm2_R04,667093.780188688,9238792.13036211,14199,2011,15271,66516,574,6417,52142,316,152,10160,943,476375,5744
Rm2_R04_860_6,Rm2_R04,667093.780188688,9238792.13036211,8941,2124,2396,22875,572,7329,53579,257,245,6502,648,439822,3205
Rm2_R04_860_5,Rm2_R04,667093.780188688,9238792.13036211,12523,2100,15905,35665,855,9048,56638,306,386,10903,1146,1004731,3382
Rm2_R04_860_4,Rm2_R04,667093.780188688,9238792.13036211,14293,2299,2703,35885,692,10053,79750,420,349,10554,829,576353,3881
Rm2_R04_860_3,Rm2_R04,667093.780188688,9238792.13036211,10767,2055,2627,44749,593,8212,71676,338,212,7944,795,511549,3831
